Infra.Class,Order,Family,Common.name,Species,Synonym.,X2n
NEOGNATHAE,GALLIFORMES,Phasianidae,Pheasants and allies,Perdix dauurica,Coturnix chinensis,82
NEOGNATHAE,GALLIFORMES,Phasianidae,Pheasants and allies,Phasianus colchicus,Coturnix chinensis,82
NEOGNATHAE,GALLIFORMES,Phasianidae,Pheasants and allies,Phasianus versicolor,Coturnix chinensis,82
NEOGNATHAE,GALLIFORMES,Phasianidae,Pheasants and allies,Polyplectron bicalcaratum,Coturnix chinensis,78
NEOGNATHAE,GALLIFORMES,Phasianidae,Pheasants and allies,Syrmaticus mikado,Coturnix chinensis,82
NEOGNATHAE,GALLIFORMES,Phasianidae,Pheasants and allies,Syrmaticus reevesii,Coturnix chinensis,82
NEOGNATHAE,GALLIFORMES,Phasianidae,Pheasants and allies,Symaticus soemmerringii,Coturnix chinensis,82
NEOGNATHAE,GALLIFORMES,Phasianidae,Pheasants and allies,Tetrastes bonasia,Coturnix chinensis,78
NEOGNATHAE,GALLIFORMES,Phasianidae,Pheasants and allies,Tragopan temminckii,Coturnix chinensis,82
NEOGNATHAE,GAVIIFORMES,Gaviidae,Loons,Gavia stellata,Coturnix chinensis,88
NEOGNATHAE,SPHENISCIFORMES,Spheniscidae,Penguins,Aptenodytes  patagonicus,Coturnix chinensis,72
NEOGNATHAE,SPHENISCIFORMES,Spheniscidae,Penguins,Aptenodytes forsteri,Coturnix chinensis,72
NEOGNATHAE,SPHENISCIFORMES,Spheniscidae,Penguins,Pygoscelis adeliae,Coturnix chinensis,95/96
NEOGNATHAE,SPHENISCIFORMES,Spheniscidae,Penguins,Pygoscelis antarcticus,Coturnix chinensis,92
NEOGNATHAE,SPHENISCIFORMES,Spheniscidae,Penguins,Pygoscelis papua,Coturnix chinensis,94
NEOGNATHAE,SPHENISCIFORMES,Spheniscidae,Penguins,Spheniscus demersus,Coturnix chinensis,72
NEOGNATHAE,SPHENISCIFORMES,Spheniscidae,Penguins,Spheniscus humboldti,Coturnix chinensis,78
NEOGNATHAE,SPHENISCIFORMES,Spheniscidae,Penguins,Spheniscus magellanicus,Coturnix chinensis,68
NEOGNATHAE,EURYPYGIFORMES,Eurypygidae,Sunbittern,Eurypyga helias,Coturnix chinensis,80
NEOGNATHAE,EURYPYGIFORMES,Rhynochetidae,Kagu,Rhynochetos jubatus,Coturnix chinensis,78
NEOGNATHAE,PROCELLARIIFORMES,Oceanitidae,Austral Storm Petrels,Fregetta tropica,Coturnix chinensis,74
