Higher taxonomic group,Order,Family,Genus,species,female2n,male2n,"Predicted ploidy (1,2,3,4)",Sexual.system,sex.chromosome.system,"notes, comments"
Mammalia,Primates,Hominidae,Pan,paniscus,48,48,,gonochorous,XY,
Mammalia,Primates,Hominidae,Pan,troglodytes,48,48,,gonochorous,XY,
Mammalia,Primates,Hominidae,Pongo,pygmaeus,48,48,,gonochorous,XY,
Mammalia,Primates,Hylobatidae,Hylobates,concolor,52,52,,gonochorous,XY,
Mammalia,Primates,Lemuridae,Lemur,catta,56,56,,gonochorous,XY,
Mammalia,Primates,Lemuridae,Lemur,fulvus fulvus,60,60,,gonochorous,XY,
Mammalia,Primates,Lemuridae,Lemur,macaco,44,44,,gonochorous,XY,
Mammalia,Primates,Lemuridae,Lemur ,variegatus subcinctus,46,46,,gonochorous,XY,
Mammalia,Primates,Pitheciidae,Cacajao,calvus,46,45,,gonochorous,complex XY,X1X2Y
Mammalia,Primates,Pongidae,Symphalangus ,brachytanites,50,50,,gonochorous,XY,
Mammalia,Rodentia,Arvicolae,Clethrionomys,glareolus,56,56,,gonochorous,XY,
Mammalia,Rodentia,Arvicolae,Clethrionomys,rufocanus,56,56,,gonochorous,XY,
Mammalia,Rodentia,Arvicolidae,Arvicola,terrestris,36,36,,gonochorous,XY,
