"Order","Family","Genus","species","Karyotype","Genotypic","Female.2N.","male.2N."
"Coleoptera","Carabidae","Abax","parallelepipedus","XO","male heterogametic",36,35
"Coleoptera","Carabidae","Abax","parallelus","XO","male heterogametic",36,35
"Coleoptera","Carabidae","Acinopus","gutturosus","XO","male heterogametic",38,37
"Coleoptera","Carabidae","Acupalpus","elegans ","XY","male heterogametic",22,22
"Coleoptera","Carabidae","Agonum","bogemanni","XY","male heterogametic",36,36
"Coleoptera","Carabidae","Agonum","cupripenne","XY","male heterogametic",36,36
"Coleoptera","Carabidae","Agonum","dolens","XO","male heterogametic",40,39
"Coleoptera","Carabidae","Agonum","ericeti","XY","male heterogametic",34,34
"Coleoptera","Carabidae","Agonum","errans","XO","male heterogametic",38,37
"Coleoptera","Carabidae","Agonum","extensicolle","XO","male heterogametic",38,37
"Coleoptera","Carabidae","Agonum","fuliginosum","XO","male heterogametic",38,37
"Coleoptera","Carabidae","Agonum","livens","XO","male heterogametic",44,43
"Coleoptera","Carabidae","Agonum","marginatum","XO","male heterogametic",38,37
"Coleoptera","Carabidae","Agonum","moestum","XY","male heterogametic",34,34
"Coleoptera","Carabidae","Agonum","moestum longipenne    ","XY","male heterogametic",34,34
"Coleoptera","Carabidae","Agonum","muelleri","XO","male heterogametic",38,37
"Coleoptera","Carabidae","Agonum","munsteri","XY","male heterogametic",36,36
"Coleoptera","Carabidae","Agonum","nigrum","XY","male heterogametic",34,34
"Coleoptera","Carabidae","Agonum","retractum","XO","male heterogametic",38,37
"Coleoptera","Carabidae","Agonum","sexpunctatum","XO","male heterogametic",38,37
"Coleoptera","Carabidae","Agonum","sp. 2    ","XO","male heterogametic",38,37
"Coleoptera","Carabidae","Agonum","thoreyi","XO","male heterogametic",36,35
"Coleoptera","Carabidae","Agonum","thoreyi melanocephalus    ","XO","male heterogametic",36,35
"Coleoptera","Carabidae","Agonum","viridicupreum","XO","male heterogametic",38,37
"Coleoptera","Carabidae","Amara","aenea","XO","male heterogametic",36,35
"Coleoptera","Carabidae","Amara","apricaria","XO","male heterogametic",34,33
"Coleoptera","Carabidae","Amara","batesi","XO","male heterogametic",38,37
"Coleoptera","Carabidae","Amara","communis","XO","male heterogametic",38,37
"Coleoptera","Carabidae","Amara","equestris","","",30,NA
