"Order","Family","Genus","Species","femalediploidnumber","sexchromosome"
"Orthoptera","Acrididae","Meloscirtus","Meloscirtus sp. 1",24,"XO"
"Orthoptera","Acrididae","Metaleptea","Metaleptea brevicornis adspersa",24,"XO"
"Orthoptera","Acrididae","Nahuelia","Nahuelia rubriventris",24,"XO"
"Orthoptera","Acrididae","Neopedies","Neopedies brunneri",24,"XO"
"Orthoptera","Acrididae","Neopedies","Neopedies sp. 1",24,"XO"
"Orthoptera","Acrididae","Neopedies","Neopedies sp. 2",24,"XO"
"Orthoptera","Acrididae","Neopedies","Neopedies sp. 3",24,"XO"
"Orthoptera","Acrididae","Neopedies","Neopedies sp. 4",24,"XO"
"Orthoptera","Acrididae","Notopomala","Notopomala glaucipes",24,"XO"
"Orthoptera","Acrididae","Omalotettix","Omalotettix obliquum",22,"XO"
"Orthoptera","Acrididae","Ommatolampis","Ommatolampis perspicillata",24,"XO"
"Orthoptera","Acrididae","Orphula","Orphula sp.",24,"XO"
"Orthoptera","Acrididae","Orphulella","Orphulella concinnula",24,"XO"
"Orthoptera","Acrididae","Orphulella","Orphulella punctata",24,"XO"
"Orthoptera","Acrididae","Orphulella","Orphulella sp.",24,"XO"
"Orthoptera","Acrididae","Orphulina","Orphulina pulchella",24,"XO"
"Orthoptera","Acrididae","Osmilia","Osmilia flavolineata",24,"XO"
"Orthoptera","Acrididae","Oxyblepta","Oxyblepta sp.",24,"XO"
"Orthoptera","Acrididae","Oxybleptella","Oxybleptella sagitta",24,"XO"
"Orthoptera","Acrididae","Paraorphula","Paraorphula graminea",24,"XO"
"Orthoptera","Acrididae","Parapellopedon","Parapellopedon instabilis",24,"XO"
"Orthoptera","Acrididae","Parapellopedon","Parapellopedon sp.",24,"XO"
"Orthoptera","Acrididae","Parascopas","Parascopas exertus",22,"XO"
"Orthoptera","Acrididae","Parascopas","Parascopas obesus",24,"XO"
"Orthoptera","Acrididae","Parascopas","Parascopas sanguineus",24,"XO"
"Orthoptera","Acrididae","Parascopas","Parascopas similis",24,"XO"
"Orthoptera","Acrididae","Paropaon","Paropaon laevifrons",24,"XO"
"Orthoptera","Acrididae","Paropaon","Paropaon pilosus tingomariae",24,"XO"
"Orthoptera","Acrididae","Pedies","Pedies andeanus",22,"XO"
"Orthoptera","Acrididae","Pedies","Pedies sp. 1",22,"XO"
"Orthoptera","Acrididae","Pedies","Pedies sp. 2",22,"XO"
"Orthoptera","Acrididae","Pedies","Pedies sp. 3",22,"XO"
"Orthoptera","Acrididae","Pedies","Pedies sp. 4",24,"XO"
"Orthoptera","Acrididae","Propedies","Propedies bilobus",24,"XO"
"Orthoptera","Acrididae","Propedies","Propedies bipunctatus",24,"XO"
"Orthoptera","Acrididae","Propedies","Propedies fusiformis",24,"XO"
"Orthoptera","Acrididae","Propedies","Propedies olivaceus",24,"XO"
"Orthoptera","Acrididae","Propedies","Propedies sanguineus",24,"XO"
"Orthoptera","Acrididae","Propedies","Propedies sp. 1",24,"XO"
"Orthoptera","Acrididae","Pseudoscopas","Pseudoscopas nigrigena",24,"XO"
"Orthoptera","Acrididae","Pseudoscopas","Pseudoscopas sp. 1",24,"XO"
"Orthoptera","Acrididae","Pseudoscopas","Pseudoscopas sp. 2",24,"XO"
"Orthoptera","Acrididae","Pseudoscopas","Pseudoscopas sp. 3",24,"XO"
"Orthoptera","Acrididae","Pseudoscopas","Pseudoscopas sp. 4",24,"XO"
"Orthoptera","Acrididae","Pseudoscopas","Pseudoscopas sp. 5",24,"XO"
