Order,Family,Genus,species,female2n,male2n,B chromosomes,sex.chromosome.system,"notes, comments",Source,Study,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Kobus,megaceros,52,52,,XY,,Animal Karyotype Book,Kingswood et al. 2000,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Kobus ,kob,50,50,,XY,,Blackmon,,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Madoqua,guentheri,48-50,48-50,,XY,,Animal Karyotype Book,Kingswood and Kumamoto 1996,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Madoqua,kirkii,46-48,46-48,,XY,,Animal Karyotype Book,Kingswood and Kumamoto 1996,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Naemorhedus,goral,56,56,,XY,,Animal Karyotype Book,Biltueva and Graphodatsky (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Naemorhedus,goral,55,55,,XY,,Blackmon,Wurster 1972,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Naemorhedus,baileyi cranbrooki,56,56,,XY,,Animal Karyotype Book 2020,Huang et al. 2005,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Neotragus,moschatus,52-56,52-56,,XY,,Animal Karyotype Book,Kingswood et al. 1998b,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Oreamnos,americanus,42,42,,XY,,Blackmon,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Oreotragus,oreotragus stevensoni,60,60,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Oryx,dammah,56-58,56-58,,XY,,Animal Karyotype Book,Kumamoto et al. 1999,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Oryx,gazella callotis,58,58,,XY,,Animal Karyotype Book,Kumamoto et al. 1999,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Oryx,leucoryx,57-58,57-58,,XY,,Animal Karyotype Book,Rubes et al. 2012,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Oryx,beisa ,58,58,,XY,,Animal Karyotype Book 2020,Kumamoto et al. 1999,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Oryx,gazella,56,56,,XY,,Animal Karyotype Book 2020,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Ovibos ,moschatus,48,48,,XY,,Blackmon,Biltueva and Graphodatsky (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Ovis,aries,54,54,,XY,,Blackmon,Cribiu et al. 2001,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Ovis,canadensis,54,54,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Ovis,orientalis,54,54,,XY,,Blackmon,,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Ovis,aries musimon,54,54,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Ovis ,ammon nigrimontana,56,56,,XY,,Blackmon,,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Ovis,aries aries,54,54,,XY,,Animal Karyotype Book 2020,Iannuzzi et al. 1999,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Ovis,ammon,56,56,,XY,,Animal Karyotype Book 2020,Huang et al. 2005,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Ovis,nivicola,52,52,,XY,,Animal Karyotype Book 2020,Huang et al. 2005,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Pelea,capreolus,56,56,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Pseudois,nayaur szechuanensis,56,56,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Pseudois,schaeferi,54,54,,XY,,Animal Karyotype Book 2020,Veterinary Research Institute Brno (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Pseudoryx,nghetinhensis,50,50,,XY,,Animal Karyotype Book 2020,Kulemzina et al. 2014,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Raphicerus,campestris,30,30,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Redunca,fulvorufula,56-57,56-57,,XY,chrom rearrangements,Animal Karyotype Book 2020,Rubes et al. 2007,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Rupicapra,rupicapra,58,58,,XY,,Blackmon,,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Syncerus,caffer,54-56,54-56,,XY,chrom rearrangements,Animal Karyotype Book,Ropiquet et al. 2010,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Syncerus,caffer,52,52,,XY,,Blackmon,Gallgher and Wommack 1992,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Taurotragus,derbianus,32,31,,complex XY,"X/X, X/Y/A",Animal Karyotype Book,Rubes et al. 2008,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Tragelaphus,oryx pattersonianus,32,31,,complex XY,"X/X, X/Y/A",Animal Karyotype Book,Rubes et al. 2008,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Tetracerus,quadricornis,38,38,,XY,,Blackmon,Popiquet et al. 2010,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Tragelaphus,angasii,54,55,,complex XY,"X/X, X/Y/A",Animal Karyotype Book,Rubes et al. 2008,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Tragelaphus,eurycerus,34,33,,complex XY,"X/X, X/Y/A",Animal Karyotype Book,Rubes et al. 2008,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Tragelaphus,imberbis,38,38,,XY,,Animal Karyotype Book,Rubes et al. 2008,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Tragelaphus,spekii,30,30,,XY,,Blackmon,Rubes et al. 2008,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Tragelaphus,strepsiceros,32,32,,XY,,Animal Karyotype Book,Rubes et al. 2008,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Tragelaphus,strepsiceros strepsiceros,32,31,,complex XY,X1X2Y,Blackmon,,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Tragelaphus,scriptus,34,34,,XY,,Animal Karyotype Book 2020,Rubes et al. 2008,,,,,,,,,,,,,,
Artiodactyla,Camelidae,Camelus,bactrianus,74,74,,XY,,Blackmon,Balmus et al. 2007,,,,,,,,,,,,,,
Artiodactyla,Camelidae,Camelus,dromedarius,74,74,,XY,,Animal Karyotype Book,Balmus et al. 2007,,,,,,,,,,,,,,
Artiodactyla,Camelidae,Camelus,ferus,74,74,,XY,,Animal Karyotype Book 2020,Proskuryakova et al. (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Camelidae,Vicugna,pacos,74,74,,XY,,Animal Karyotype Book 2020,Balmus et al. 2007,,,,,,,,,,,,,,
Artiodactyla,Camelidae,Lama,guanicoe,74,74,,XY,,Animal Karyotype Book 2020,Balmus et al. 2007,,,,,,,,,,,,,,
Artiodactyla,Camelidae,Lama,glama,74,74,,XY,,Animal Karyotype Book 2020,Balmus et al. 2007,,,,,,,,,,,,,,
Artiodactyla,Camelidae,Vicugna,vicugna,74,74,,XY,,Blackmon,,,,,,,,,,,,,,,
Artiodactyla,Cervidae,Alces,alces,68,68,,XY,,Blackmon,Graphodatsky (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Cervidae,Axis,axis,66,66,,XY,,Blackmon,,,,,,,,,,,,,,,
Artiodactyla,Cervidae,Axis,calamianensis,68,68,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Cervidae,Axis,kuhlii,68,68,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Cervidae,Blastocerus,dichotomus,66,66,,XY,,Animal Karyotype Book 2020,Duarte and Giannoni 1995a,,,,,,,,,,,,,,
Artiodactyla,Cervidae,Capreolus,capreolus,70,70,,XY,,Blackmon,,,,,,,,,,,,,,,
Artiodactyla,Cervidae,Capreolus,pygargus,70,70,yes (6),XY,,Animal Karyotype Book,Dementyeva et al. 2010,,,,,,,,,,,,,,
Artiodactyla,Cervidae,Przewalskium ,albirostris,66,66,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Cervidae,Cervus,elaphus,68,68,,XY,,Blackmon,,,,,,,,,,,,,,,
Artiodactyla,Cervidae,Cervus,hanglu bactrianus,68,68,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Cervidae,Cervus,canadensis sibiricus,68,68,,XY,,Animal Karyotype Book,Graphodatsky (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Cervidae,Cervus,nippon hortulorum,66,66,,XY,,Animal Karyotype Book,Graphodatsky (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Cervidae,Cervus,nippon mandarinus,66,66,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Cervidae,Rusa,unicolor,58,58,,XY,,Blackmon,,,,,,,,,,,,,,,
Artiodactyla,Cervidae,Rusa,unicolor malaccensis,56,56,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Cervidae,Rusa,timorensis ,60,60,,XY,,Animal Karyotype Book 2020,Frohlich et al. 2017,,,,,,,,,,,,,,
Artiodactyla,Cervidae,Cervus,nippon,66,66,,XY,,Animal Karyotype Book 2020,Huang et al. 2006a,,,,,,,,,,,,,,
Artiodactyla,Cervidae,Cervus,elaphus,62,62,,XY,,Animal Karyotype Book 2020,Huang et al. 2006a,,,,,,,,,,,,,,
Artiodactyla,Cervidae,Dama,dama,68,68,,XY,,Blackmon,,,,,,,,,,,,,,,
Artiodactyla,Cervidae,Dama,mesopotamica,68,68,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Cervidae,Elaphodus,cephalophus,46-48,46-48,,complex XY,X1Y1Y2,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Cervidae,Elaphodus,cephalophus,47,47,,XY,17 fusion to X,Animal Karyotype Book 2020,Huang et al. 2006a,,,,,,,,,,,,,,
Artiodactyla,Cervidae,Elaphurus,davidianus,68,68,,XY,,Blackmon,,,,,,,,,,,,,,,
Artiodactyla,Cervidae,Hippocamelus,bisulcus,70,70,,XY,,Animal Karyotype Book 2020,Spotorno et al. 1987,,,,,,,,,,,,,,
Artiodactyla,Cervidae,Hydropotes,inermis,70,70,,XY,,Blackmon,,,,,,,,,,,,,,,
Artiodactyla,Cervidae,Mazama ,americana,42,43,yes,complex XY,XY1Y2,Animal Karyotype Book 2020,Aquino et al. 2013,,,,,,,,,,,,,,
Artiodactyla,Cervidae,Mazama ,nana,36,36,yes,XY,,Animal Karyotype Book 2020,Abril and Duarte 2008,,,,,,,,,,,,,,
Artiodactyla,Cervidae,Mazama ,bororo,34,34,yes,XY,,Animal Karyotype Book 2020,Duarte (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Cervidae,Mazama ,gouazoubira,70,70,yes,XY,,Animal Karyotype Book 2020,Proskuryakova and Yang (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Cervidae,Mazama ,nemorivaga,68,69,yes,complex XY,X1Y1Y2,Animal Karyotype Book 2020,Fiorillo et al. 2013,,,,,,,,,,,,,,
Artiodactyla,Cervidae,Muntiacus,crinifrons,8,9,,complex XY,"X/A, X/A/Y",Animal Karyotype Book,Fu and Yang (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Cervidae,Muntiacus,feae,13,14,,complex XY,"X/A, X/A/Y",Animal Karyotype Book,Huang et al. 2006b,,,,,,,,,,,,,,
Artiodactyla,Cervidae,Muntiacus,gongshanensis,8,9,,complex XY,"X/A, X/A/Y",Animal Karyotype Book,Fu and Yang (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Cervidae,Muntiacus,muntjak,6,7,,complex XY,XY1Y2,Blackmon,,,,,,,,,,,,,,,
Artiodactyla,Cervidae,Muntiacus,vaginalis,6,7,,complex XY,"X/A, X/A/Y",Animal Karyotype Book,Burkin et al. 1997,,,,,,,,,,,,,,
Artiodactyla,Cervidae,Muntiacus,reevesi,46,46,,XY,,Blackmon,Yang et al. 1995,,,,,,,,,,,,,,
